case,time,x,y
0.136,0.007,0.0085613243281841,0.141763940453529
0.136,0.007,0.0081773502752184,0.142277240753174
0.136,0.007,0.0077612870372831,0.142764911055565
0.136,0.007,0.0073148412629962,0.14322492480278
0.136,0.007,0.0068398565053939,0.143655404448509
0.136,0.007,0.0063382741063833,0.14405457675457
0.136,0.007,0.0058121681213378,0.144420817494392
0.136,0.007,0.0052636847831308,0.144752621650696
0.136,0.007,0.0046950872056186,0.145048633217812
0.136,0.007,0.0041086999699473,0.145307630300522
0.136,0.007,0.0035069354344159,0.145528540015221
0.136,0.007,0.0028922562487423,0.145710483193398
0.136,0.007,0.002267193282023,0.145852670073509
0.136,0.007,0.0016342989401891,0.145954519510269
0.136,0.007,0.0009961860487237,0.146015644073486
0.136,0.007,0.0003554561117198,0.146035760641098
0.136,0.008,0.000492374994792,0.126069873571396
0.136,0.008,0.0011331202695146,0.126089602708817
0.136,0.008,0.0017712712287902,0.126150354743004
0.136,0.008,0.0024042131844908,0.126251876354218
0.136,0.008,0.0030293457675725,0.126393750309944
0.136,0.008,0.0036440992262214,0.126575395464897
0.136,0.008,0.0042459452524781,0.126796066761017
0.136,0.008,0.0048324041999876,0.127054899930954
0.136,0.008,0.0054010646417737,0.127350762486458
0.136,0.008,0.0059495796449482,0.127682492136955
0.136,0.008,0.0064756926149129,0.128048703074455
0.136,0.008,0.0069772345013916,0.128447934985161
0.136,0.008,0.0074521289207041,0.128878489136696
0.136,0.008,0.0078984219580888,0.129338636994362
0.136,0.008,0.0083142640069127,0.129826471209526
0.136,0.008,0.0086979400366544,0.130339980125427
0.136,0.008,0.0090478584170341,0.130877077579498
0.136,0.008,0.0093625783920288,0.131435513496399
0.136,0.008,0.0096407867968082,0.132013007998466
0.136,0.008,0.0098813492804765,0.13260717689991
0.136,0.008,0.0100832562893629,0.133215561509132
0.136,0.008,0.0102456826716661,0.133835658431053
0.136,0.008,0.0103679560124874,0.134464904665947
0.136,0.008,0.0104495733976364,0.135100707411766
0.136,0.008,0.010490202344954,0.13574044406414
0.136,0.008,0.0104896780103445,0.136381462216377
0.136,0.008,0.0104480097070336,0.137021124362946
0.136,0.008,0.010365373454988,0.137656792998314
0.136,0.008,0.0102421185001731,0.138285860419273
0.136,0.008,0.0100787589326501,0.138905718922615
0.136,0.008,0.0098759783431887,0.139513820409775
0.136,0.008,0.0096346139907836,0.140107676386833
0.136,0.008,0.009355679154396,0.140684828162193
0.136,0.008,0.0090403147041797,0.141242921352386
0.136,0.008,0.0086898365989327,0.141779646277428
0.136,0.008,0.0083056865260005,0.142292827367783
0.136,0.008,0.0078894523903727,0.142780333757401
0.136,0.008,0.0074428454972803,0.143240198493004
0.136,0.008,0.0069677112624049,0.143670499324799
0.136,0.008,0.0064659877680242,0.144069522619247
0.136,0.008,0.0059397588483989,0.144435584545135
0.136,0.008,0.0053911623544991,0.144767209887505
0.136,0.008,0.0048224674537777,0.145063027739525
0.136,0.008,0.0042359940707683,0.145321846008301
0.136,0.008,0.0036341585218906,0.145542562007904
0.136,0.008,0.0030194215942174,0.145724296569824
0.136,0.008,0.0023943136911839,0.14586628973484
0.136,0.008,0.0017613871023058,0.145967960357666
0.136,0.008,0.0011232540709897,0.146028876304626
0.136,0.008,0.0004825128125958,0.146048799157143
0.136,0.009,0.0006431299843825,0.126090869307518
0.136,0.009,0.001283885911107,0.126110389828682
0.136,0.009,0.0019220594549551,0.126170948147774
0.136,0.009,0.0025550262071192,0.126272276043892
0.136,0.009,0.0031802093144506,0.126413956284523
0.136,0.009,0.0037950088735669,0.126595422625542
0.136,0.009,0.0043969247490167,0.126815930008888
0.136,0.009,0.0049834502860903,0.12707456946373
0.136,0.009,0.0055521922186017,0.127370283007622
0.136,0.009,0.006100786384195,0.127701878547668
0.136,0.009,0.0066269878298044,0.128067970275879
0.136,0.009,0.0071286116726696,0.128467082977295
0.136,0.009,0.0076035913079977,0.128897547721863
0.136,0.009,0.00804996304214,0.129357606172562
0.136,0.009,0.0084658786654472,0.129845380783081
0.136,0.009,0.0088496161624789,0.130358844995499
0.136,0.009,0.0091995885595679,0.130895897746086
0.136,0.009,0.0095143467187881,0.131454318761826
0.136,0.009,0.0097925765439868,0.132031798362732
0.136,0.009,0.0100331474095583,0.132625952363014
0.136,0.009,0.0102350385859609,0.133234351873398
0.136,0.009,0.0103974314406514,0.133854448795319
0.136,0.009,0.0105196498334408,0.134483709931374
0.136,0.009,0.0106011917814612,0.135119512677193
0.136,0.009,0.0106417238712311,0.135759249329567
0.136,0.009,0.0106410821899772,0.136400267481804
0.136,0.009,0.0105992779135704,0.137039914727211
0.136,0.009,0.0105164879933,0.137675568461418
0.136,0.009,0.0103930654004216,0.138304591178894
